trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,savgol,no_std,pca_adapt_0.25n,False,0,0.0,0.02390789157419529,0.024152748245820164,COMPLETE
1,id,MSC,std_scaler,pca_adapt_0.25n,False,0,0.0,0.02594227266664344,0.024835844866701214,COMPLETE
2,id,baseline,std_scaler,pca_adapt_0.25n,False,0,0.0,0.02601653282134569,0.024818475645274413,COMPLETE
3,id,simplescale,no_std,pca_adapt_0.25n,False,0,0.0,0.02594545104761324,0.02274798904584498,COMPLETE
4,id,id,std_scaler,pca_adapt_0.25n,False,0,0.0,0.02598394427864781,0.024866279435716374,COMPLETE
5,id,MSC,std_scaler,pca_adapt_0.10n,False,0,0.0,0.02631100761167117,0.025463274842478678,COMPLETE
6,id,savgol,no_std,pca_0.99,False,0,0.0,0.06398520952811913,0.06434804573057758,COMPLETE
8,id,MSC,std_scaler,no_pca,True,264,2.0,0.04502989498888004,0.044360587358928436,COMPLETE
9,id,baseline,std_scaler,pca_adapt_0.10n,False,0,0.0,0.026259966743870225,0.025452666947195772,COMPLETE
10,id,simplescale,no_std,no_pca,True,66,0.5,0.039154032718965996,0.04019412440668095,COMPLETE
11,id,savgol,no_std,pca_adapt_0.25n,True,264,0.5,0.0766584045953011,0.06716243478561947,COMPLETE
12,id,simplescale,no_std,pca_0.99,False,0,0.0,0.06182006893985511,0.06219736132031297,COMPLETE
14,id,id,std_scaler,pca_adapt_0.25n,True,66,2.0,0.029210677779456157,0.026558339805702425,COMPLETE
17,id,savgol,no_std,no_pca,False,0,0.0,0.044020633407195836,0.043568643061337585,COMPLETE
18,id,simplescale,no_std,pca_adapt_0.10n,True,66,2.0,0.026200462201133656,0.026388589511935928,COMPLETE
