trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,asls_baseline,SNV,no_std,pca_adapt_0.25n,False,0,0.0,0.09783008796287475,0.09682073359391262,COMPLETE
1,id,baseline,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09862729929263163,0.09841925974898827,COMPLETE
2,id,id,std_scaler,pca_adapt_0.25n,False,0,0.0,0.0987982694411496,0.09840339768960933,COMPLETE
3,id,MSC,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09878833181454581,0.09838473096997845,COMPLETE
4,asls_baseline,RNV,no_std,pca_adapt_0.25n,False,0,0.0,0.09987387668205236,0.09960444680148749,COMPLETE
5,id,baseline,std_scaler,pca_adapt_0.10n,False,0,0.0,0.09946640585971543,0.0997648653396092,COMPLETE
6,asls_baseline,SNV,no_std,pca_0.99,False,0,0.0,0.10397073428618575,0.10190934812689148,COMPLETE
8,id,baseline,std_scaler,no_pca,True,284,2.0,0.10534756281640782,0.10327439081470031,COMPLETE
9,id,id,std_scaler,pca_adapt_0.10n,False,0,0.0,0.09930117459927192,0.09918591548582724,COMPLETE
10,asls_baseline,SNV,no_std,no_pca,True,71,0.5,0.10244036044572861,0.09991104658786669,COMPLETE
11,id,MSC,std_scaler,pca_adapt_0.25n,True,284,0.5,0.10561603796096322,0.10316820718634667,COMPLETE
12,id,MSC,std_scaler,pca_0.99,False,0,0.0,0.10240233252300456,0.10099229977267678,COMPLETE
14,asls_baseline,RNV,no_std,pca_adapt_0.25n,True,71,2.0,0.09788152497560182,0.0967599852775301,COMPLETE
16,asls_baseline,RNV,no_std,pca_0.99,True,71,2.0,0.10454294776163187,0.10049328821680897,COMPLETE
17,asls_baseline,RNV,no_std,pca_adapt_0.10n,True,71,2.0,0.10285242944886468,0.09998123056538144,COMPLETE
18,asls_baseline,SNV,no_std,no_pca,True,71,2.0,0.10025098774666094,0.0998841291405942,COMPLETE
19,asls_baseline,SNV,no_std,pca_adapt_0.25n,True,284,0.5,0.09929076822318755,0.09956785024840677,COMPLETE
