trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,baseline,no_std,pca_adapt_0.25n,False,0,0.0,0.017056271047578203,0.01714113854951248,COMPLETE
1,id,id,no_std,pca_adapt_0.25n,False,0,0.0,0.017161254210009098,0.017032420959875453,COMPLETE
2,asls_baseline,normalize,no_std,pca_adapt_0.25n,False,0,0.0,0.017583546008569248,0.017775872493562914,COMPLETE
3,id,SNV,no_std,pca_adapt_0.25n,False,0,0.0,0.017863099907744817,0.019117129387221928,COMPLETE
4,id,detrend,no_std,pca_adapt_0.25n,False,0,0.0,0.017942925269208564,0.017832560476133286,COMPLETE
5,id,id,no_std,pca_adapt_0.10n,False,0,0.0,0.026650134548298378,0.02636888986119091,COMPLETE
6,id,baseline,no_std,pca_0.99,False,0,0.0,0.0544896275363872,0.053906324965586894,COMPLETE
8,id,id,no_std,no_pca,True,190,2.0,0.026169740343068484,0.026278540569534485,COMPLETE
9,asls_baseline,normalize,no_std,pca_adapt_0.10n,False,0,0.0,0.028728162497039984,0.03138249458702861,COMPLETE
10,id,id,no_std,no_pca,True,47,0.5,0.028565507296177284,0.028217850777682033,COMPLETE
11,id,baseline,no_std,pca_adapt_0.25n,True,190,0.5,0.03059855013640817,0.03433485043596847,COMPLETE
14,id,baseline,no_std,pca_adapt_0.25n,True,47,2.0,0.02282536104617552,0.020726595330184124,COMPLETE
17,id,id,no_std,no_pca,False,0,0.0,0.027128987160876694,0.02752676306764922,COMPLETE
18,id,detrend,no_std,pca_adapt_0.10n,True,47,2.0,0.02916055999229915,0.02819390096793882,COMPLETE
