trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,baseline,no_std,pca_adapt_0.25n,False,0,0.0,0.03679405967071016,0.036302625469052004,COMPLETE
1,id,id,no_std,pca_adapt_0.25n,False,0,0.0,0.03650123235327288,0.03621499640499423,COMPLETE
2,id,detrend,no_std,pca_adapt_0.25n,False,0,0.0,0.036951728744405124,0.03687297730000142,COMPLETE
3,asls_baseline,normalize,no_std,pca_adapt_0.25n,False,0,0.0,0.03711218056652765,0.036628360584360906,COMPLETE
4,id,savgol,no_std,pca_adapt_0.25n,False,0,0.0,0.03840779823587966,0.03841969612521722,COMPLETE
5,id,id,no_std,pca_adapt_0.10n,False,0,0.0,0.05895564172304712,0.05566677274050884,COMPLETE
6,id,baseline,no_std,pca_0.99,False,0,0.0,0.07648326594401521,0.07407886855490702,COMPLETE
8,id,id,no_std,no_pca,True,186,2.0,0.05434687052007231,0.05689776278735966,COMPLETE
9,id,detrend,no_std,pca_adapt_0.10n,False,0,0.0,0.054382870876719516,0.054383922663065944,COMPLETE
10,id,id,no_std,no_pca,True,46,0.5,0.053775626637170594,0.057554988642614296,COMPLETE
11,id,baseline,no_std,pca_adapt_0.25n,True,186,0.5,0.06483623636228121,0.05605741437263843,COMPLETE
14,id,baseline,no_std,pca_adapt_0.25n,True,46,2.0,0.04460513382358655,0.03814511773009561,COMPLETE
17,id,id,no_std,no_pca,False,0,0.0,0.05600879938040429,0.05364354077583979,COMPLETE
18,id,savgol,no_std,pca_adapt_0.10n,True,46,2.0,0.06355884056510644,0.06397641149911683,COMPLETE
