trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,id,no_std,no_pca,False,0,0.0,0.06041343546126007,0.05851494184112424,COMPLETE
1,id,savgol,no_std,no_pca,False,0,0.0,0.06140314754330919,0.058618871778695,COMPLETE
2,asls_baseline,haar,no_std,pca_adapt_0.25n,False,0,0.0,0.06201819423120297,0.061589204545020385,COMPLETE
3,id,simplescale,no_std,no_pca,False,0,0.0,0.062285659354526936,0.05935630612372086,COMPLETE
4,id,baseline,no_std,no_pca,False,0,0.0,0.06267312304931862,0.05851450752885503,COMPLETE
5,id,savgol,no_std,pca_adapt_0.10n,False,0,0.0,0.07221103322244737,0.06718120041795085,COMPLETE
6,id,id,no_std,pca_0.99,False,0,0.0,0.08531944839825023,0.0816302005454215,COMPLETE
7,id,simplescale,no_std,pca_adapt_0.25n,False,0,0.0,0.0757622279894362,0.06889947417770952,COMPLETE
8,id,savgol,no_std,no_pca,True,160,2.0,0.06054926255783261,0.061106375338415994,COMPLETE
9,asls_baseline,haar,no_std,pca_adapt_0.10n,False,0,0.0,0.0697740584210003,0.062210180337874205,COMPLETE
10,id,baseline,no_std,pca_0.99,True,40,0.5,0.07456260594693487,0.08199318064328182,COMPLETE
11,id,id,no_std,no_pca,True,160,0.5,0.06457356163986976,0.06468099825627688,COMPLETE
14,id,id,no_std,no_pca,True,40,2.0,0.06308522808457334,0.06326016192277623,COMPLETE
17,id,id,no_std,pca_adapt_0.25n,False,0,0.0,0.07233376396589143,0.06616797606571774,COMPLETE
18,id,baseline,no_std,pca_adapt_0.10n,True,40,2.0,0.08512194247467889,0.08511979985737028,COMPLETE
