trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,haar,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09342031373500441,0.09827455763499741,COMPLETE
1,asls_baseline,simplescale,no_std,pca_adapt_0.25n,False,0,0.0,0.09394612539851241,0.09513974452876044,COMPLETE
2,id,savgol,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09600369878285199,0.09756339671300493,COMPLETE
3,asls_baseline,MSC,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09778777804298884,0.09922646554896115,COMPLETE
4,id,normalize,no_std,pca_adapt_0.25n,False,0,0.0,0.09829843244530838,0.0992712586299888,COMPLETE
5,asls_baseline,simplescale,no_std,pca_adapt_0.10n,False,0,0.0,0.09656303894564842,0.09841314226776508,COMPLETE
6,id,haar,std_scaler,pca_0.99,False,0,0.0,0.09880485811695693,0.10022064136102025,COMPLETE
8,asls_baseline,simplescale,no_std,no_pca,True,160,2.0,0.10363677904454871,0.09927686849413334,COMPLETE
9,id,savgol,std_scaler,pca_adapt_0.10n,False,0,0.0,0.10510910757000297,0.10244607164094964,COMPLETE
10,asls_baseline,simplescale,no_std,no_pca,True,40,0.5,0.12140298478590239,0.10957068898562644,COMPLETE
11,id,savgol,std_scaler,pca_adapt_0.25n,True,160,0.5,0.09546387923304445,0.09422477088021529,COMPLETE
12,id,savgol,std_scaler,pca_0.99,True,160,0.5,0.12316182818495897,0.11826662250898277,COMPLETE
13,id,normalize,no_std,pca_adapt_0.25n,True,160,0.5,0.09791600555028832,0.10159805395661721,COMPLETE
14,id,savgol,std_scaler,pca_adapt_0.25n,True,40,2.0,0.09896738477746886,0.10035217597919491,COMPLETE
15,asls_baseline,simplescale,no_std,pca_adapt_0.25n,True,160,0.5,0.09706746282648868,0.09487656206795003,COMPLETE
16,id,savgol,std_scaler,no_pca,True,160,0.5,0.1221487760825571,0.09874941824861334,COMPLETE
17,asls_baseline,simplescale,no_std,pca_0.99,True,160,0.5,0.09421491886890107,0.09172334780848419,COMPLETE
18,asls_baseline,MSC,std_scaler,pca_0.99,True,160,0.5,0.09969104409631295,0.10179896369224908,COMPLETE
19,id,haar,std_scaler,pca_0.99,True,160,0.5,0.11033058855045366,0.1138801919307999,COMPLETE
