trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,asls_baseline,gaussian,std_scaler,no_pca,False,0,0.0,0.1331190810034222,0.131265999120584,COMPLETE
1,asls_baseline,haar,std_scaler,pca_adapt_0.25n,False,0,0.0,0.13420574430308377,0.13154190916543942,COMPLETE
2,asls_baseline,id,no_std,pca_adapt_0.25n,False,0,0.0,0.13783727051113534,0.13405854892195362,COMPLETE
3,asls_baseline,RNV,no_std,pca_adapt_0.25n,False,0,0.0,0.13634878295910263,0.13235592785081576,COMPLETE
4,id,normalize,no_std,pca_adapt_0.25n,False,0,0.0,0.13647249062296798,0.13480466915909145,COMPLETE
5,asls_baseline,haar,std_scaler,pca_adapt_0.10n,False,0,0.0,0.13349089129057526,0.13104895755451085,COMPLETE
6,asls_baseline,gaussian,std_scaler,pca_0.99,False,0,0.0,0.13578130019811502,0.13928651041898676,COMPLETE
8,asls_baseline,haar,std_scaler,no_pca,True,302,2.0,0.13816043786568685,0.1356596200837525,COMPLETE
9,asls_baseline,id,no_std,pca_adapt_0.10n,False,0,0.0,0.1415082301494989,0.13667950380838167,COMPLETE
10,asls_baseline,haar,std_scaler,pca_adapt_0.10n,True,75,0.5,0.13480143290519706,0.1325142783763822,COMPLETE
11,asls_baseline,gaussian,std_scaler,no_pca,True,302,0.5,0.14015641067608195,0.1380749031709343,COMPLETE
13,id,normalize,no_std,pca_adapt_0.10n,False,0,0.0,0.14786559115791015,0.14599614287966117,COMPLETE
14,asls_baseline,gaussian,std_scaler,pca_0.99,True,75,2.0,0.12771371762497286,0.13397132166216022,COMPLETE
15,asls_baseline,haar,std_scaler,no_pca,False,0,0.0,0.1396556479328067,0.1377271748930252,COMPLETE
16,asls_baseline,gaussian,std_scaler,pca_adapt_0.10n,False,0,0.0,0.14536196044754068,0.1408538319152617,COMPLETE
18,id,normalize,no_std,pca_adapt_0.10n,True,75,2.0,0.14950034868210377,0.1462065328873942,COMPLETE
19,asls_baseline,id,no_std,pca_0.99,False,0,0.0,0.14606167341404866,0.1448485628801231,COMPLETE
