trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,detrend,std_scaler,no_pca,False,0,0.0,0.16083269320740942,0.1590727650943351,COMPLETE
1,id,savgol,no_std,pca_adapt_0.25n,False,0,0.0,0.160962319029647,0.16361286794139915,COMPLETE
2,asls_baseline,SNV,no_std,pca_adapt_0.25n,False,0,0.0,0.16116958846344834,0.1630296258037318,COMPLETE
3,asls_baseline,baseline,no_std,pca_adapt_0.25n,False,0,0.0,0.16106728401767073,0.1639936051093501,COMPLETE
4,asls_baseline,id,no_std,pca_adapt_0.25n,False,0,0.0,0.1612011659218601,0.16428782397766392,COMPLETE
5,id,savgol,no_std,pca_adapt_0.10n,False,0,0.0,0.15888284793795102,0.1619619816385646,COMPLETE
6,id,detrend,std_scaler,pca_0.99,False,0,0.0,0.1674903549690197,0.17131450231727613,COMPLETE
8,id,savgol,no_std,no_pca,True,214,2.0,0.16477863333175596,0.16619531006709362,COMPLETE
9,asls_baseline,SNV,no_std,pca_adapt_0.10n,False,0,0.0,0.162655375067532,0.1612813900334716,COMPLETE
10,id,detrend,std_scaler,no_pca,True,53,0.5,0.16905140466546878,0.1682853187293125,COMPLETE
11,asls_baseline,SNV,no_std,pca_adapt_0.10n,True,214,0.5,0.17277609159564553,0.16670647370074548,COMPLETE
12,asls_baseline,SNV,no_std,no_pca,False,0,0.0,0.1662809727035035,0.16706226978506464,COMPLETE
13,id,detrend,std_scaler,pca_adapt_0.10n,False,0,0.0,0.16784670759764517,0.16946830141531063,COMPLETE
14,asls_baseline,id,no_std,pca_0.99,True,53,2.0,0.16025643620637164,0.1602006645007583,COMPLETE
17,asls_baseline,id,no_std,no_pca,True,53,2.0,0.18197615609099177,0.16948544614888844,COMPLETE
18,id,detrend,std_scaler,pca_0.99,True,53,2.0,0.1719746101749414,0.17130607382951393,COMPLETE
19,id,detrend,std_scaler,no_pca,True,214,0.5,0.1891608778101784,0.1684584393734091,COMPLETE
