dataset,stage,config_name,preprocessing,simple_preproc,standardization,pca,rff,val_rmse,val_nrmse,normalizer,test_rmse,test_nrmse
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_MSC_no_std_no_pca_no_rff,asls_baseline,MSC,no_std,no_pca,no_rff,1.0596685267341404,0.08052192452387084,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_MSC_no_std_pca_adapt_0.25n_no_rff,asls_baseline,MSC,no_std,pca_adapt_0.25n,no_rff,1.6571833301990238,0.1259257849695307,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_MSC_std_scaler_no_pca_no_rff,asls_baseline,MSC,std_scaler,no_pca,no_rff,1.0870546591035164,0.08260293762184776,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_MSC_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,MSC,std_scaler,pca_adapt_0.25n,no_rff,2.27324431866899,0.17273892999004484,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_RNV_no_std_no_pca_no_rff,asls_baseline,RNV,no_std,no_pca,no_rff,2.0575557748458637,0.15634922301260362,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_RNV_no_std_pca_adapt_0.25n_no_rff,asls_baseline,RNV,no_std,pca_adapt_0.25n,no_rff,2.500518935704135,0.19000903766748747,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_SNV_no_std_no_pca_no_rff,asls_baseline,SNV,no_std,no_pca,no_rff,1.0566780238839846,0.08029468266595627,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_SNV_no_std_pca_adapt_0.25n_no_rff,asls_baseline,SNV,no_std,pca_adapt_0.25n,no_rff,1.7922214787528907,0.13618704245842633,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_baseline_no_std_no_pca_no_rff,asls_baseline,baseline,no_std,no_pca,no_rff,1.2708026329876572,0.09656554961912288,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_baseline_no_std_pca_adapt_0.25n_no_rff,asls_baseline,baseline,no_std,pca_adapt_0.25n,no_rff,1.6779239356495526,0.12750181881835507,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_baseline_std_scaler_no_pca_no_rff,asls_baseline,baseline,std_scaler,no_pca,no_rff,1.0882392475377791,0.08269295194056073,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_baseline_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,baseline,std_scaler,pca_adapt_0.25n,no_rff,2.18653390531773,0.16614999280529863,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_derivate_no_std_no_pca_no_rff,asls_baseline,derivate,no_std,no_pca,no_rff,3.9781571284313,0.3022915751087614,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_derivate_no_std_pca_adapt_0.25n_no_rff,asls_baseline,derivate,no_std,pca_adapt_0.25n,no_rff,3.8710250155508565,0.29415083704793743,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_derivate_std_scaler_no_pca_no_rff,asls_baseline,derivate,std_scaler,no_pca,no_rff,3.835699816019664,0.29146655136927535,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_derivate_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,derivate,std_scaler,pca_adapt_0.25n,no_rff,3.8098281503203193,0.28950061932525223,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_detrend_no_std_no_pca_no_rff,asls_baseline,detrend,no_std,no_pca,no_rff,1.211632363088737,0.09206932850218365,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_detrend_no_std_pca_adapt_0.25n_no_rff,asls_baseline,detrend,no_std,pca_adapt_0.25n,no_rff,2.9613631050792324,0.22502759157137023,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_detrend_std_scaler_no_pca_no_rff,asls_baseline,detrend,std_scaler,no_pca,no_rff,1.1919658409831033,0.09057491192880725,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_detrend_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,detrend,std_scaler,pca_adapt_0.25n,no_rff,2.4047408883139987,0.1827310705405774,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_gaussian_no_std_no_pca_no_rff,asls_baseline,gaussian,no_std,no_pca,no_rff,0.9851732801618633,0.07486119150166134,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_gaussian_no_std_pca_adapt_0.25n_no_rff,asls_baseline,gaussian,no_std,pca_adapt_0.25n,no_rff,1.5457298586916879,0.1174566761923775,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_gaussian_std_scaler_no_pca_no_rff,asls_baseline,gaussian,std_scaler,no_pca,no_rff,0.9981308395988845,0.0758458084801584,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_gaussian_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,gaussian,std_scaler,pca_adapt_0.25n,no_rff,1.1706412369334727,0.08895450128673804,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_haar_no_std_no_pca_no_rff,asls_baseline,haar,no_std,no_pca,no_rff,1.1962818877335866,0.09090287900711144,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_haar_no_std_pca_adapt_0.25n_no_rff,asls_baseline,haar,no_std,pca_adapt_0.25n,no_rff,1.7965859885612026,0.136518692139909,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_haar_std_scaler_no_pca_no_rff,asls_baseline,haar,std_scaler,no_pca,no_rff,1.4110449951724375,0.10722226407085392,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_haar_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,haar,std_scaler,pca_adapt_0.25n,no_rff,1.5720566509997778,0.11945719232521107,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_id_no_std_no_pca_no_rff,asls_baseline,id,no_std,no_pca,no_rff,1.26766135202625,0.09632685045792173,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_id_no_std_pca_adapt_0.25n_no_rff,asls_baseline,id,no_std,pca_adapt_0.25n,no_rff,1.675136771240504,0.12729002820976476,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_id_std_scaler_no_pca_no_rff,asls_baseline,id,std_scaler,no_pca,no_rff,1.0880911349526963,0.08268169718485534,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_id_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,id,std_scaler,pca_adapt_0.25n,no_rff,2.113831058980505,0.16062546040885298,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_normalize_no_std_no_pca_no_rff,asls_baseline,normalize,no_std,no_pca,no_rff,1.5553862568522203,0.11819044504956082,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_normalize_no_std_pca_adapt_0.25n_no_rff,asls_baseline,normalize,no_std,pca_adapt_0.25n,no_rff,2.721289665273026,0.20678492897211445,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_savgol_no_std_no_pca_no_rff,asls_baseline,savgol,no_std,no_pca,no_rff,1.2796356451499695,0.09723675115121348,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_savgol_no_std_pca_adapt_0.25n_no_rff,asls_baseline,savgol,no_std,pca_adapt_0.25n,no_rff,1.7360243644235154,0.13191674501698444,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_savgol_std_scaler_no_pca_no_rff,asls_baseline,savgol,std_scaler,no_pca,no_rff,1.1133800797347118,0.08460334952391427,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_savgol_std_scaler_pca_adapt_0.25n_no_rff,asls_baseline,savgol,std_scaler,pca_adapt_0.25n,no_rff,1.8884548626697606,0.14349960962536173,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_simplescale_no_std_no_pca_no_rff,asls_baseline,simplescale,no_std,no_pca,no_rff,0.9944779398999722,0.07556823251519545,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,asls_baseline_simplescale_no_std_pca_adapt_0.25n_no_rff,asls_baseline,simplescale,no_std,pca_adapt_0.25n,no_rff,1.409843262151587,0.10713094697200509,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_MSC_no_std_no_pca_no_rff,id,MSC,no_std,no_pca,no_rff,0.9163318080211761,0.0696300765973538,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_MSC_no_std_pca_adapt_0.25n_no_rff,id,MSC,no_std,pca_adapt_0.25n,no_rff,2.5017602445656264,0.19010336204905975,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_MSC_std_scaler_no_pca_no_rff,id,MSC,std_scaler,no_pca,no_rff,0.9455828319559549,0.07185279878084763,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_MSC_std_scaler_pca_adapt_0.25n_no_rff,id,MSC,std_scaler,pca_adapt_0.25n,no_rff,2.2759929334601194,0.17294779129636165,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_RNV_no_std_no_pca_no_rff,id,RNV,no_std,no_pca,no_rff,1.3250937932484088,0.10069101772404322,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_RNV_no_std_pca_adapt_0.25n_no_rff,id,RNV,no_std,pca_adapt_0.25n,no_rff,2.2300536509333715,0.16945696435663918,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_SNV_no_std_no_pca_no_rff,id,SNV,no_std,no_pca,no_rff,2.4053937701451553,0.18278068162197228,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_SNV_no_std_pca_adapt_0.25n_no_rff,id,SNV,no_std,pca_adapt_0.25n,no_rff,1.3474196958941727,0.10238751488557543,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_baseline_no_std_no_pca_no_rff,id,baseline,no_std,no_pca,no_rff,0.8874186303890196,0.06743302662530544,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_baseline_no_std_pca_adapt_0.25n_no_rff,id,baseline,no_std,pca_adapt_0.25n,no_rff,1.7443796914562746,0.13255164828695096,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_baseline_std_scaler_no_pca_no_rff,id,baseline,std_scaler,no_pca,no_rff,0.946453446320978,0.07191895488761231,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_baseline_std_scaler_pca_adapt_0.25n_no_rff,id,baseline,std_scaler,pca_adapt_0.25n,no_rff,2.2975281286333735,0.17458420430344784,range_ycal,,
Biscuit_Sucrose_40_RandomSplit,stage1,id_derivate_no_std_no_pca_no_rff,id,derivate,no_std,no_pca,no_rff,3.8066321070004747,0.28925775889061356,range_ycal,,
