pot number,svc_id,genotype,rep,trt,reading1,reading2,reading3,average
1,HR.060623.0090.sig,LONGII9035,5,75,33.0,32.0,33.0,921.4856606
181,HR.060623.0309.sig,TXBERL,1,0,5.0,5.0,4.0,131.6408087
38,HR.060623.0027.sig,NM11-062,2,75,149.0,150.0,148.0,4203.102962
227,HR.060623.0241.sig,DOAN9024,3,0,5.0,4.0,2.0,103.4320639
112,HR.060623.0215.sig,BERL9043,3,50,38.0,38.0,38.0,1071.932299
191,HR.060623.0304.sig,T68,5,0,8.0,7.0,7.0,206.8641279
74,HR.060623.0052.sig,DOAN9024,4,75,19.0,15.0,17.0,479.5486601
145,HR.060623.0197.sig,BERL9043,1,50,25.0,24.0,23.0,677.0098731
3,HR.060623.0088.sig,NM11-081,2,75,148.0,148.0,150.0,4193.700048
245,HR.060623.0276.sig,GIRDIANA6B,4,0,7.0,5.0,6.0,169.2524683
88,HR.060623.0002.sig,DOAN9024,3,75,40.0,41.0,40.0,1137.752703
210,HR.060623.0255.sig,GIRDIANA6B,2,0,10.0,11.0,10.0,291.4903619
164,HR.060623.0188.sig,RAMSEY,2,50,45.0,43.0,44.0,1241.184767
56,HR.060623.0015.sig,RAMSEY,5,75,37.0,35.0,37.0,1024.917724
93,HR.060623.0223.sig,NM11-085,1,50,93.0,92.0,93.0,2614.010343
130,HR.060623.0121.sig,NM11-084,5,50,120.0,121.0,122.0,3413.25811
20,HR.060623.0039.sig,NM11-081,5,75,138.0,140.0,141.0,3939.821346
83,HR.060623.0048.sig,140RU,2,75,93.0,95.0,94.0,2651.622003
254,HR.060623.0272.sig,NM11-085,4,0,10.0,9.0,10.0,272.6845322
220,HR.060623.0250.sig,DOAN9026,4,0,5.0,3.0,4.0,112.8349788
155,HR.060623.0192.sig,AZ11-012B,3,50,96.0,101.0,99.0,2783.262812
200,HR.060623.0260.sig,NM11-062,4,0,9.0,9.0,9.0,253.8787024
121,HR.060623.0211.sig,GIRDIANA6B,5,50,58.0,58.0,57.0,1626.704278
47,HR.060623.0021.sig,AZ11-012B,1,75,170.0,172.0,169.0,4804.889515
237,HR.060623.0237.sig,AZ11-012B,3,0,0.0,0.0,0.0,0.0
182,HR.060623.0308.sig,BERL9031,4,0,5.0,5.0,5.0,141.0437236
64,HR.060623.0057.sig,LONGII9018,4,75,19.0,17.0,19.0,517.1603196
12,HR.060623.0084.sig,NM11-085,1,75,147.0,150.0,146.0,4165.491303
29,HR.060623.0033.sig,TXBERL,5,75,54.0,56.0,56.0,1560.883874
172,HR.060623.0185.sig,NM11-085,4,50,130.0,128.0,129.0,3638.928068
2,HR.060623.0089.sig,BERL9031,5,75,115.0,118.0,117.0,3291.020217
102,HR.060623.0220.sig,BERL9043,4,50,67.0,68.0,68.0,1908.791726
138,HR.060623.0114.sig,GIRDIANA6B,2,50,39.0,40.0,38.0,1100.141044
232,HR.060623.0285.sig,BERL9031,1,0,7.0,6.0,7.0,188.0582981
87,HR.060623.0001.sig,140RU,4,75,75.0,76.0,75.0,2125.058768
136,HR.060623.0112.sig,NM11-081,4,50,72.0,70.0,72.0,2012.223789
80,HR.060623.0008.sig,BERL9043,1,75,127.0,128.0,127.0,3591.913492
241,HR.060623.0280.sig,140RU,3,0,4.0,5.0,4.0,122.2378937
224,no scan,LONGII9027,3,0,7.0,6.0,7.0,188.0582981
249,HR.060623.0234.sig,RAMSEY,5,0,1.0,1.0,1.0,28.20874471
69,HR.060623.0013.sig,BERL9031,3,75,127.0,128.0,128.0,3601.316409
259,HR.060623.0229.sig,BERL9043,4,0,3.0,2.0,3.0,75.22331924
214,HR.060623.0291.sig,NM11-085,5,0,5.0,6.0,5.0,150.4466384
204,HR.060623.0296.sig,NM11-081,2,0,24.0,21.0,22.0,629.9952984
25,HR.060623.0076.sig,DOAN9024,2,75,29.0,29.0,29.0,818.0535966
133,HR.060623.0204.sig,NM11-062,3,50,76.0,78.0,80.0,2200.282087
51,HR.060623.0065.sig,DOAN9026,4,75,24.0,23.0,24.0,667.6069583
116,HR.060623.0122.sig,RAMSEY,1,50,16.0,15.0,14.0,423.1311707
150,HR.060623.0111.sig,NM11-081,1,50,88.0,82.0,83.0,2378.937471
34,HR.060623.0072.sig,DOAN9024,1,75,25.0,22.0,26.0,686.4127879
42,HR.060623.0069.sig,LONGII9027,3,75,68.0,67.0,69.0,1918.19464
159,HR.060623.0106.sig,BERL9031,5,50,65.0,65.0,65.0,1833.568406
44,HR.060623.0067.sig,BERL9043,2,75,83.0,85.0,85.0,2378.937471
187,HR.060623.0262.sig,BERL9043,2,0,7.0,6.0,6.0,178.6553832
60,HR.060623.0019.sig,LONGII9027,4,75,281.0,283.0,280.0,7936.060178
97,HR.060623.0133.sig,BERL9031,4,50,57.0,58.0,58.0,1626.704278
168,HR.060623.0100.sig,LONGII9018,3,50,17.0,17.0,17.0,479.5486601
16,HR.060623.0035.sig,NM11-081,4,75,85.0,87.0,87.0,2435.35496
195,HR.060623.0300.sig,BERL9031,2,0,8.0,5.0,8.0,197.461213
218,HR.060623.0247.sig,BERL9043,1,0,6.0,6.0,6.0,169.2524683
7,HR.060623.0041.sig,GIRDIANA11,3,75,82.0,82.0,81.0,2303.714151
177,HR.060623.0093.sig,NM11-085,2,50,133.0,135.0,134.0,3779.971791
106,HR.060623.0127.sig,140RU,3,50,17.0,14.0,15.0,432.5340855
126,HR.060623.0117.sig,LONGII9035,5,50,6.0,6.0,7.0,178.6553832
246,HR.060623.0231.sig,NM11-084,5,0,7.0,5.0,5.0,159.8495534
84,HR.060623.0047.sig,NM11-084,1,75,124.0,123.0,124.0,3488.48143
235,HR.060623.0281.sig,LONGII9018,2,0,6.0,6.0,6.0,169.2524683
240,HR.060623.0240.sig,T68,3,0,4.0,6.0,6.0,150.4466384
142,HR.060623.0200.sig,DOAN9026,5,50,16.0,15.0,16.0,441.9370006
228,HR.060623.0242.sig,LONGII9018,3,0,7.0,6.0,7.0,188.0582981
67,HR.060623.0010.sig,NM11-081,1,75,99.0,98.0,98.0,2773.859896
71,HR.060623.0055.sig,T68,1,75,122.0,125.0,123.0,3479.078513
166,HR.060623.0098.sig,LONGII9018,4,50,8.0,8.0,8.0,225.6699577
217,HR.060623.0246.sig,AZ11-012B,4,0,6.0,4.0,5.0,141.0437236
23,HR.060623.0078.sig,BERL9043,3,75,81.0,80.0,81.0,2275.505407
91,HR.060623.0225.sig,T68,5,50,99.0,99.0,100.0,2802.068641
185,HR.060623.0305.sig,DOAN9024,2,0,4.0,3.0,4.0,103.4320639
108,HR.060623.0129.sig,NM11-072,5,50,50.0,50.0,50.0,1410.437236
76,HR.060623.0005.sig,DOAN9026,5,75,24.0,25.0,23.0,677.0098731
104,HR.060623.0218.sig,RAMSEY,4,50,39.0,38.0,39.0,1090.738129
244,HR.060623.0277.sig,T68,4,0,9.0,7.0,5.0,197.461213
257,HR.060623.0227.sig,NM11-062,5,0,6.0,5.0,6.0,159.8495534
208,HR.060623.0245.sig,NM11-072,4,0,4.0,3.0,4.0,103.4320639
252,HR.060623.0274.sig,NM11-084,3,0,8.0,6.0,7.0,197.461213
49,HR.060623.0023.sig,140RU,3,75,78.0,80.0,77.0,2209.685002
134,HR.060623.0203.sig,GIRDIANA11,1,50,60.0,63.0,65.0,1767.748002
119,HR.060623.0125.sig,NM11-085,5,50,99.0,100.0,101.0,2820.874471
111,HR.060623.0216.sig,TXBERL,2,50,71.0,74.0,76.0,2078.044194
147,HR.060623.0108.sig,LONGII9035,2,50,7.0,7.0,7.0,197.461213
58,HR.060623.0017.sig,GIRDIANA6B,3,75,90.0,91.0,91.0,2557.592854
163,HR.060623.0189.sig,TXBERL,3,50,107.0,110.0,109.0,3065.35026
82,HR.060623.0049.sig,NM11-085,4,75,189.0,191.0,189.0,5350.258581
114,HR.060623.0213.sig,140RU,1,50,18.0,20.0,21.0,554.7719794
175,HR.060623.0182.sig,DOAN9026,1,50,12.0,12.0,11.0,329.1020217
27,HR.060623.0031.sig,GIRDIANA6B,1,75,56.0,55.0,55.0,1560.883874
53,HR.060623.0063.sig,140RU,5,75,71.0,73.0,72.0,2031.029619
45,HR.060623.0066.sig,NM11-081,3,75,78.0,80.0,81.0,2247.296662
128,HR.060623.0119.sig,NM11-084,3,50,79.0,82.0,80.0,2266.102492
212,HR.060623.0293.sig,RAMSEY,1,0,7.0,6.0,6.0,178.6553832
198,HR.060623.0258.sig,140RU,1,0,3.0,3.0,3.0,84.62623413
18,HR.060623.0037.sig,NM11-072,4,75,105.0,107.0,105.0,2980.724025
239,HR.060623.0239.sig,BERL9031,5,0,6.0,8.0,6.0,188.0582981
193,HR.060623.0302.sig,AZ11-012B,5,0,2.0,6.0,4.0,112.8349788
62,HR.060623.0059.sig,T68,4,75,68.0,68.0,68.0,1918.19464
14,HR.060623.0082.sig,140RU,1,75,62.0,61.0,61.0,1730.136342
31,HR.060623.0075.sig,NM11-072,3,75,155.0,153.0,154.0,4344.146685
124,HR.060623.0208.sig,DOAN9026,3,50,12.0,14.0,15.0,385.5195111
40,HR.060623.0029.sig,RAMSEY,2,75,172.0,171.0,171.0,4833.09826
66,HR.060623.0009.sig,GIRDIANA11,4,75,85.0,86.0,85.0,2407.146215
202,HR.060623.0298.sig,LONGII9018,1,0,1.0,2.0,2.0,47.01457453
179,HR.060623.0095.sig,NM11-084,1,50,109.0,110.0,109.0,3084.156087
184,HR.060623.0306.sig,DOAN9024,5,0,9.0,9.0,8.0,244.4757875
189,HR.060623.0264.sig,GIRDIANA6B,1,0,7.0,5.0,4.0,150.4466384
222,HR.060623.0288.sig,LONGII9035,3,0,6.0,5.0,6.0,159.8495534
157,HR.060623.0104.sig,GIRDIANA6B,3,50,42.0,44.0,45.0,1231.781852
100,no scan,LONGII9027,1,50,8.0,7.0,8.0,216.2670428
5,HR.060623.0086.sig,AZ11-012B,2,75,121.0,121.0,120.0,3403.855196
36,HR.060623.0025.sig,T68,2,75,90.0,90.0,91.0,2548.189939
225,no scan,LONGII9027,5,0,5.0,5.0,6.0,150.4466384
22,HR.060623.0079.sig,LONGII9027,5,75,90.0,89.0,90.0,2529.384109
170,HR.060623.0102.sig,BERL9031,2,50,91.0,90.0,92.0,2566.995769
161,HR.060623.0191.sig,LONGII9018,2,50,10.0,13.0,11.0,319.6991066
153,HR.060623.0194.sig,RAMSEY,3,50,26.0,26.0,26.0,733.4273625
95,HR.060623.0221.sig,AZ11-012B,4,50,93.0,94.0,92.0,2623.413258
9,HR.060623.0043.sig,LONGII9018,3,75,15.0,13.0,15.0,404.3253408
199,HR.060623.0259.sig,NM11-062,2,0,9.0,8.0,8.0,235.0728726
68,HR.060623.0011.sig,DOAN9024,5,75,19.0,20.0,22.0,573.577809
86,HR.060623.0000.sig,NM11-062,4,75,158.0,161.0,160.0,4503.99624
256,HR.060623.0226.sig,BERL9043,5,0,4.0,4.0,4.0,112.8349788
