pot number,svc_id,genotype,rep,trt,reading1,reading2,reading3,average
4,HR.060623.0087.sig,NM11-085,3,75,198.0,199.0,198.0,5594.734367
8,HR.060623.0042.sig,LONGII9035,2,75,20.0,22.0,21.0,592.3836389
11,HR.060623.0085.sig,GIRDIANA6B,4,75,100.0,101.0,100.0,2830.277385
15,HR.060623.0081.sig,LONGII9027,1,75,40.0,39.0,40.0,1118.946874
24,HR.060623.0077.sig,DOAN9026,1,75,30.0,29.0,28.0,818.0535966
26,HR.060623.0030.sig,RAMSEY,4,75,65.0,64.0,64.0,1814.762576
32,HR.060623.0074.sig,NM11-072,2,75,109.0,110.0,111.0,3102.961918
35,HR.060623.0071.sig,AZ11-012B,4,75,86.0,89.0,87.0,2463.563705
37,HR.060623.0026.sig,BERL9043,5,75,103.0,105.0,102.0,2914.903619
39,HR.060623.0028.sig,T68,3,75,183.0,184.0,184.0,5181.006113
41,HR.060623.0070.sig,TXBERL,3,75,108.0,109.0,107.0,3046.544429
43,HR.060623.0068.sig,BERL9031,2,75,102.0,104.0,102.0,2896.097791
52,HR.060623.0064.sig,GIRDIANA6B,5,75,63.0,64.0,63.0,1786.553832
57,HR.060623.0016.sig,NM11-072,5,75,136.0,141.0,136.0,3883.403856
63,HR.060623.0058.sig,GIRDIANA11,1,75,130.0,132.0,130.0,3685.942643
65,HR.060623.0056.sig,RAMSEY,3,75,83.0,85.0,84.0,2369.534556
70,HR.060623.0014.sig,AZ11-012B,5,75,233.0,232.0,232.0,6553.831687
72,HR.060623.0054.sig,BERL9043,4,75,84.0,83.0,85.0,2369.534556
77,HR.060623.0006.sig,TXBERL,2,75,75.0,77.0,77.0,2153.267513
79,no scan,LONGII9027,2,75,9.0,11.0,10.0,282.0874471
81,HR.060623.0050.sig,LONGII9035,1,75,39.0,39.0,39.0,1100.141044
85,HR.060623.0046.sig,GIRDIANA11,2,75,89.0,90.0,89.0,2519.981194
89,HR.060623.0003.sig,LONGII9018,2,75,18.0,18.0,18.0,507.7574048
94,HR.060623.0222.sig,GIRDIANA11,2,50,50.0,48.0,49.0,1382.228491
96,HR.060623.0132.sig,LONGII9027,4,50,30.0,32.0,30.0,865.0681712
98,HR.060623.0134.sig,140RU,5,50,14.0,12.0,15.0,385.5195111
101,no scan,RAMSEY,5,50,24.0,22.0,24.0,658.2040432
103,HR.060623.0219.sig,NM11-081,2,50,61.0,62.0,61.0,1730.136342
105,HR.060623.0217.sig,BERL9043,2,50,31.0,33.0,30.0,883.8740008
107,HR.060623.0128.sig,NM11-084,2,50,70.0,70.0,70.0,1974.61213
109,HR.060623.0130.sig,DOAN9026,4,50,13.0,15.0,14.0,394.922426
110,HR.060623.0131.sig,BERL9031,3,50,31.0,29.0,32.0,865.0681712
113,HR.060623.0214.sig,LONGII9027,5,50,41.0,37.0,40.0,1109.543959
115,HR.060623.0212.sig,GIRDIANA11,3,50,48.0,50.0,51.0,1401.034321
117,HR.060623.0123.sig,LONGII9035,3,50,97.0,98.0,98.0,2755.054067
118,HR.060623.0124.sig,LONGII9018,5,50,8.0,7.0,8.0,216.2670428
120,HR.060623.0126.sig,NM11-085,3,50,107.0,105.0,107.0,2999.529853
122,HR.060623.0210.sig,TXBERL,4,50,57.0,56.0,57.0,1598.495534
123,HR.060623.0209.sig,LONGII9027,3,50,85.0,82.0,87.0,2388.340386
125,HR.060623.0207.sig,AZ11-012B,5,50,59.0,62.0,63.0,1730.136342
129,HR.060623.0120.sig,NM11-072,4,50,75.0,77.0,76.0,2143.864598
146,HR.060623.0107.sig,NM11-072,3,50,59.0,60.0,60.0,1683.121768
148,HR.060623.0109.sig,GIRDIANA6B,1,50,22.0,23.0,22.0,629.9952984
149,HR.060623.0110.sig,LONGII9018,1,50,15.0,13.0,15.0,404.3253408
151,HR.060623.0196.sig,NM11-081,3,50,60.0,62.0,61.0,1720.733427
152,HR.060623.0195.sig,DOAN9026,2,50,25.0,25.0,22.0,677.0098731
154,HR.060623.0193.sig,GIRDIANA11,4,50,31.0,31.0,30.0,865.0681712
156,HR.060623.0103.sig,NM11-081,5,50,86.0,87.0,86.0,2435.35496
158,HR.060623.0105.sig,GIRDIANA6B,4,50,41.0,40.0,40.0,1137.752703
167,HR.060623.0099.sig,DOAN9024,1,50,18.0,18.0,18.0,507.7574048
169,HR.060623.0101.sig,BERL9031,1,50,61.0,60.0,61.0,1711.330513
171,HR.060623.0186.sig,NM11-084,4,50,111.0,111.0,111.0,3131.170663
173,HR.060623.0184.sig,NM11-062,2,50,113.0,112.0,113.0,3178.185238
174,HR.060623.0183.sig,DOAN9024,5,50,39.0,39.0,38.0,1090.738129
176,HR.060623.0092.sig,140RU,4,50,91.0,92.0,91.0,2576.398683
178,HR.060623.0094.sig,DOAN9024,2,50,18.0,20.0,18.0,526.5632347
180,HR.060623.0096.sig,LONGII9035,4,50,42.0,40.0,40.0,1147.155618
183,HR.060623.0307.sig,140RU,2,0,7.0,0.0,0.0,65.82040432
186,HR.060623.0261.sig,LONGII9027,4,0,9.0,8.0,8.0,235.0728726
188,HR.060623.0263.sig,GIRDIANA6B,3,0,5.0,3.0,4.0,112.8349788
190,HR.060623.0265.sig,TXBERL,2,0,0.0,0.0,0.0,0.0
192,HR.060623.0303.sig,LONGII9035,1,0,0.0,0.0,0.0,0.0
194,HR.060623.0301.sig,LONGII9018,4,0,8.0,5.0,8.0,197.461213
196,HR.060623.0256.sig,NM11-062,1,0,7.0,5.0,5.0,159.8495534
197,HR.060623.0235.sig,DOAN9026,3,0,9.0,7.0,7.0,216.2670428
201,HR.060623.0299.sig,DOAN9026,1,0,5.0,5.0,5.0,141.0437236
203,HR.060623.0297.sig,NM11-085,3,0,5.0,5.0,5.0,141.0437236
213,HR.060623.0292.sig,BERL9043,3,0,6.0,6.0,6.0,169.2524683
216,HR.060623.0253.sig,NM11-072,3,0,6.0,6.0,6.0,169.2524683
223,HR.060623.0287.sig,AZ11-012B,2,0,0.0,2.0,2.0,37.61165961
229,HR.060623.0243.sig,NM11-081,5,0,2.0,5.0,4.0,103.4320639
231,HR.060623.0286.sig,DOAN9024,4,0,3.0,3.0,2.0,75.22331924
233,HR.060623.0284.sig,NM11-084,2,0,5.0,6.0,5.0,150.4466384
243,HR.060623.0278.sig,TXBERL,4,0,6.0,6.0,5.0,159.8495534
248,HR.060623.0233.sig,LONGII9035,5,0,6.0,5.0,4.0,141.0437236
250,HR.060623.0257.sig,DOAN9026,2,0,4.0,4.0,5.0,122.2378937
251,HR.060623.0275.sig,NM11-072,5,0,5.0,5.0,5.0,141.0437236
253,HR.060623.0273.sig,LONGII9027,1,0,9.0,6.0,7.0,206.8641279
