dataset,model,metric,value
alpine_n_552_ks,TabPFN Raw,RMSE,0.3205819949891214
alpine_n_552_ks,TabPFN Raw+RFF,RMSE,0.3016324864525096
alpine_n_552_robustnessfennoscandia,TabPFN Raw,RMSE,0.6142155203335103
alpine_n_552_robustnessfennoscandia,TabPFN Raw+RFF,RMSE,0.7124724070252684
alpine_p_291_ks,TabPFN Raw,RMSE,0.05748550226680897
alpine_p_291_ks,TabPFN Raw+RFF,RMSE,0.06131380667260033
alpine_p_291_robustnessfennoscandia,TabPFN Raw,RMSE,0.11854570456360346
alpine_p_291_robustnessfennoscandia,TabPFN Raw+RFF,RMSE,0.13936954378771843
beer_originalextract_60_ks,TabPFN Raw,RMSE,0.18751691857163763
beer_originalextract_60_ks,TabPFN Raw+RFF,RMSE,0.19031865921874688
biscuit_fat_40_randomsplit,TabPFN Raw,RMSE,0.6170322377510767
biscuit_fat_40_randomsplit,TabPFN Raw+RFF,RMSE,0.5944956959588658
biscuit_flour_40_randomsplit,TabPFN Raw,RMSE,1.2528871126330572
biscuit_flour_40_randomsplit,TabPFN Raw+RFF,RMSE,1.3297147548217858
biscuit_sucrose_40_randomsplit,TabPFN Raw,RMSE,1.82043320050471
biscuit_sucrose_40_randomsplit,TabPFN Raw+RFF,RMSE,1.8092683461772003
cassava_tcc_4468_davrieuxrobustness2013,TabPFN Raw,RMSE,1.8185747798221819
cassava_tcc_4468_davrieuxrobustness2013,TabPFN Raw+RFF,RMSE,1.6479281661889236
cassava_tcc_4930_davrieuxrobustness2014,TabPFN Raw,RMSE,1.7251753364563007
cassava_tcc_4930_davrieuxrobustness2014,TabPFN Raw+RFF,RMSE,1.823624862126542
cattle_manure_cao_ks,TabPFN Raw,RMSE,1.2682950083302755
cattle_manure_cao_ks,TabPFN Raw+RFF,RMSE,1.1972169677307019
cattle_manure_dm_ks,TabPFN Raw,RMSE,3.0088244055773825
cattle_manure_dm_ks,TabPFN Raw+RFF,RMSE,2.863922632513298
cattle_manure_k2o_ks,TabPFN Raw,RMSE,2.135549038833204
cattle_manure_k2o_ks,TabPFN Raw+RFF,RMSE,2.126322432576342
cattle_manure_mgo_ks,TabPFN Raw,RMSE,0.5926401675284987
cattle_manure_mgo_ks,TabPFN Raw+RFF,RMSE,0.5707745791590579
cattle_manure_om_ks,TabPFN Raw,RMSE,23.788520796388337
cattle_manure_om_ks,TabPFN Raw+RFF,RMSE,24.410424934877852
cattle_manure_p2o5_ks,TabPFN Raw,RMSE,0.7372315798516457
cattle_manure_p2o5_ks,TabPFN Raw+RFF,RMSE,0.7263294154497058
cattle_manure_total_n_ks,TabPFN Raw,RMSE,1.258746615922347
cattle_manure_total_n_ks,TabPFN Raw+RFF,RMSE,1.2205510844538494
corn_oil_80_zhengchenpelegybasesplit,TabPFN Raw,RMSE,0.08477497163103102
corn_oil_80_zhengchenpelegybasesplit,TabPFN Raw+RFF,RMSE,0.09001748600604118
corn_protein_80_zhengchenpelegybasesplit,TabPFN Raw,RMSE,0.22881777316607876
corn_protein_80_zhengchenpelegybasesplit,TabPFN Raw+RFF,RMSE,0.20028676387366381
corn_starch_80_zhengchenpelegybasesplit,TabPFN Raw,RMSE,0.5718946050940574
corn_starch_80_zhengchenpelegybasesplit,TabPFN Raw+RFF,RMSE,0.5360936002133508
diesel_bp50_246_b_a,TabPFN Raw,RMSE,17.07752136852689
diesel_bp50_246_b_a,TabPFN Raw+RFF,RMSE,16.918567368611548
